Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M01,110048.1,2019,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2019M01,39149.0,2019,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2019M01,21966.6,2019,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2019M01,30769.9,2019,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,1043.3,2019,1
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2019M01,1384.5,2019,1
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2019M01,482.1,2019,1
Up to and including 1 year,DKK,- Credit card credit,General government,2019M01,62.2,2019,1
Up to and including 1 year,DKK,- Credit card credit,Households,2019M01,6558.8,2019,1
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2019M01,11.8,2019,1
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2019M01,1800.7,2019,1
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2019M01,150014.4,2019,1
Up to and including 1 year,DKK,- Repo loans,General government,2019M01,7425.6,2019,1
Up to and including 1 year,DKK,- Repo loans,Households,2019M01,0.0,2019,1
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2019M01,53741.3,2019,1
Up to and including 1 year,DKK,- Other loans,Financial corporations,2019M01,46132.8,2019,1
Up to and including 1 year,DKK,- Other loans,General government,2019M01,0.0,2019,1
Up to and including 1 year,DKK,- Other loans,Households,2019M01,18588.0,2019,1
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2019M01,223.4,2019,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M01,13500.3,2019,1
